# time(s),voltage(V),current(A),cycle_num,exp_num,voltage_applied(V)
605036.793772,-0.313863,-0.000004721,0,0,-0.308023
607536.945813,-0.314824,0.000005000,0,0,-0.308424
610037.097853,-0.314885,0.000004767,0,0,-0.308825
612537.249894,-0.314641,-0.000000990,0,0,-0.309225
615037.401934,-0.314397,0.000000075,0,0,-0.309626
617537.553974,-0.314839,0.000001823,0,0,-0.310027
620037.706015,-0.315785,0.000000990,0,0,-0.310428
622537.858055,-0.316274,-0.000000960,0,0,-0.310829
625038.010095,-0.316243,-0.000000153,0,0,-0.311229
627538.162136,-0.316869,0.000003679,0,0,-0.311630
630038.314176,-0.316350,0.000000476,0,0,-0.312031
632538.466217,-0.316701,-0.000001210,0,0,-0.312432
635038.618257,-0.318257,-0.000000486,0,0,-0.312833
637538.770297,-0.319616,0.000004267,0,0,-0.313233
640038.922338,-0.318242,0.000000221,0,0,-0.313634
642539.074378,-0.319204,0.000002737,0,0,-0.314035
645039.226419,-0.318578,-0.000001408,0,0,-0.314436
647539.378459,-0.318716,-0.000001710,0,0,-0.314836
650039.530499,-0.320592,0.000000549,0,0,-0.315237
652539.682540,-0.321981,0.000004794,0,0,-0.315638
655039.834580,-0.321309,-0.000001387,0,0,-0.316039
657539.986620,-0.321294,-0.000003212,0,0,-0.316440
660040.138661,-0.321309,0.000000558,0,0,-0.316840
662540.290701,-0.322057,0.000004588,0,0,-0.317241
665040.442742,-0.323507,-0.000001763,0,0,-0.317642
667540.594782,-0.323553,-0.000004725,0,0,-0.318043
670040.746822,-0.324285,0.000005000,0,0,-0.318444
672540.898863,-0.324376,0.000004767,0,0,-0.318844
675041.050903,-0.324117,-0.000001065,0,0,-0.319245
677541.202944,-0.323690,0.000000118,0,0,-0.319646
680041.354984,-0.326131,0.000001773,0,0,-0.320047
682541.507024,-0.326238,0.000001041,0,0,-0.320447
685041.659065,-0.326345,-0.000001070,0,0,-0.320848
687541.811105,-0.326162,-0.000000139,0,0,-0.321249
690041.963145,-0.326589,0.000003785,0,0,-0.321650
692542.115186,-0.325963,0.000000495,0,0,-0.322051
695042.267226,-0.328420,-0.000001427,0,0,-0.322451
697542.419267,-0.328573,-0.000000441,0,0,-0.322852
700042.571307,-0.329183,0.000004508,0,0,-0.323253
702542.723347,-0.328344,0.000000170,0,0,-0.323654
705042.875388,-0.328710,0.000002871,0,0,-0.324055
707543.027428,-0.328435,-0.000001500,0,0,-0.324455
710043.179468,-0.330770,-0.000001978,0,0,-0.324856
712543.331509,-0.330923,0.000000594,0,0,-0.325257
715043.483549,-0.331502,0.000004794,0,0,-0.325658
717543.635590,-0.330739,-0.000001259,0,0,-0.326059
720043.787630,-0.330892,-0.000003087,0,0,-0.326459
722543.939670,-0.330770,0.000000556,0,0,-0.326860
725044.091711,-0.333959,0.000004530,0,0,-0.327261
727544.243751,-0.333486,-0.000001840,0,0,-0.327662
730044.395792,-0.333700,-0.000004726,0,0,-0.328062
732544.547832,-0.334356,0.000005000,0,0,-0.328463
735044.699872,-0.334173,0.000004770,0,0,-0.328864
737544.851913,-0.333669,-0.000001134,0,0,-0.329265
740045.003953,-0.333639,0.000000172,0,0,-0.329666
742545.155993,-0.336293,0.000001804,0,0,-0.330066
745045.308034,-0.335866,0.000001047,0,0,-0.330467
747545.460074,-0.336034,-0.000001171,0,0,-0.330868
750045.612115,-0.335821,-0.000000128,0,0,-0.331269
752545.764155,-0.336752,0.000003916,0,0,-0.331670
755045.916195,-0.335973,0.000000477,0,0,-0.332070
757546.068236,-0.338201,-0.000001466,0,0,-0.332471
760046.220276,-0.338415,-0.000000454,0,0,-0.332872
762546.372316,-0.338979,0.000003803,0,0,-0.333273
765046.524357,-0.338293,0.000000152,0,0,-0.333673
767546.676397,-0.338994,0.000002619,0,0,-0.334074
770046.828438,-0.338567,-0.000001605,0,0,-0.334475
772546.980478,-0.340612,-0.000001788,0,0,-0.334876
775047.132518,-0.340887,0.000000561,0,0,-0.335277
777547.284559,-0.341634,0.000004795,0,0,-0.335677
780047.436599,-0.341238,-0.000001105,0,0,-0.336078
782547.588640,-0.340719,-0.000003019,0,0,-0.336479
785047.740680,-0.340871,0.000000522,0,0,-0.336880
787547.892720,-0.343648,0.000004447,0,0,-0.337281
790048.044761,-0.343527,-0.000001882,0,0,-0.337681
792548.196801,-0.343725,-0.000004724,0,0,-0.338082
795048.348841,-0.344457,0.000005000,0,0,-0.338483
797548.500882,-0.344396,0.000004774,0,0,-0.338884
800048.652922,-0.343740,-0.000001152,0,0,-0.339284
802548.804963,-0.345465,0.000000086,0,0,-0.339685
805048.957003,-0.346349,0.000001950,0,0,-0.340086
807549.109043,-0.345602,0.000001010,0,0,-0.340487
810049.261084,-0.345739,-0.000001217,0,0,-0.340888
812549.413124,-0.345647,-0.000000142,0,0,-0.341288
815049.565165,-0.346349,0.000004030,0,0,-0.341689
817549.717205,-0.347662,0.000000486,0,0,-0.342090
820049.869245,-0.348516,-0.000001547,0,0,-0.342491
822550.021286,-0.348135,-0.000000473,0,0,-0.342892
825050.173326,-0.348455,0.000003466,0,0,-0.343292
827550.325366,-0.348364,0.000000135,0,0,-0.343693
830050.477407,-0.348638,0.000003117,0,0,-0.344094
832550.629447,-0.350271,-0.000001742,0,0,-0.344495
835050.781488,-0.350378,-0.000001990,0,0,-0.344895
837550.933528,-0.350897,0.000000579,0,0,-0.345296
840051.085568,-0.351598,0.000004796,0,0,-0.345697
842551.237609,-0.351065,-0.000001043,0,0,-0.346098
845051.389649,-0.350759,-0.000003097,0,0,-0.346499
847551.541689,-0.353078,0.000000528,0,0,-0.346899
850051.693730,-0.354177,0.000004375,0,0,-0.347300
852551.845770,-0.353445,-0.000001888,0,0,-0.347701
855051.997811,-0.353552,-0.000004720,0,0,-0.348102
857552.149851,-0.354177,0.000005000,0,0,-0.348503
860052.301891,-0.354391,0.000004776,0,0,-0.348903
862552.453932,-0.355352,-0.000001241,0,0,-0.349304
865052.605972,-0.355429,0.000000119,0,0,-0.349705
867552.758013,-0.356253,0.000002024,0,0,-0.350106
870052.910053,-0.355856,0.000001023,0,0,-0.350506
872553.062093,-0.355642,-0.000001291,0,0,-0.350907
875053.214134,-0.355795,-0.000000211,0,0,-0.351308
877553.366174,-0.358709,0.000004091,0,0,-0.351709
880053.518214,-0.357931,0.000000458,0,0,-0.352110
882553.670255,-0.358435,-0.000001812,0,0,-0.352510
885053.822295,-0.358236,-0.000000456,0,0,-0.352911
887553.974336,-0.358557,0.000002824,0,0,-0.353312
890054.126376,-0.358145,0.000000155,0,0,-0.353713
892554.278416,-0.360754,0.000003098,0,0,-0.354114
895054.430457,-0.360830,-0.000001881,0,0,-0.354514
897554.582497,-0.360510,-0.000002290,0,0,-0.354915
900054.734537,-0.360632,0.000000509,0,0,-0.355316
902554.886578,-0.361624,0.000004794,0,0,-0.355717
905055.038618,-0.360784,-0.000000950,0,0,-0.356117
907555.190659,-0.360739,-0.000003052,0,0,-0.356518
910055.342699,-0.362829,0.000000549,0,0,-0.356919
912555.494739,-0.363714,0.000004468,0,0,-0.357320
915055.646780,-0.363226,-0.000002000,0,0,-0.357721
917555.798820,-0.363180,-0.000004714,0,0,-0.358121
920055.950861,-0.363973,0.000005000,0,0,-0.358522
922556.102901,-0.363836,0.000004779,0,0,-0.358923
925056.254941,-0.365378,-0.000001260,0,0,-0.359324
927556.406982,-0.365469,0.000000148,0,0,-0.359725
930056.559022,-0.365942,0.000002024,0,0,-0.360125
932556.711062,-0.365362,0.000000899,0,0,-0.360526
935056.863103,-0.365698,-0.000001443,0,0,-0.360927
937557.015143,-0.365622,-0.000000202,0,0,-0.361328
940057.167184,-0.367956,0.000004181,0,0,-0.361729
942557.319224,-0.367544,0.000000467,0,0,-0.362129
945057.471264,-0.367941,-0.000002003,0,0,-0.362530
947557.623305,-0.367666,-0.000000458,0,0,-0.362931
950057.775345,-0.368200,0.000002675,0,0,-0.363332
952557.927386,-0.367330,0.000000170,0,0,-0.363732
955058.079426,-0.370550,0.000002908,0,0,-0.364133
957558.231466,-0.370687,-0.000001893,0,0,-0.364534
960058.383507,-0.370337,-0.000002777,0,0,-0.364935
962558.535547,-0.370413,0.000000514,0,0,-0.365336
965058.687587,-0.371237,0.000004796,0,0,-0.365736
967558.839628,-0.370642,-0.000000925,0,0,-0.366137
970058.991668,-0.372686,-0.000003560,0,0,-0.366538
972559.143709,-0.373068,0.000000646,0,0,-0.366939
975059.295749,-0.373541,0.000004638,0,0,-0.367340
977559.447789,-0.373022,-0.000001865,0,0,-0.367740
980059.599830,-0.372809,-0.000004698,0,0,-0.368141
982559.751870,-0.373861,0.000005000,0,0,-0.368542
985059.903910,-0.375952,0.000004781,0,0,-0.368943
987560.055951,-0.375616,-0.000001235,0,0,-0.369343
990060.207991,-0.375326,0.000000113,0,0,-0.369744
992560.360032,-0.375830,0.000002066,0,0,-0.370145
995060.512072,-0.375555,0.000000873,0,0,-0.370546
997560.664112,-0.376044,-0.000001492,0,0,-0.370947
1000060.816153,-0.377646,-0.000000251,0,0,-0.371347
1002560.968193,-0.378851,0.000004134,0,0,-0.371748
1005061.120234,-0.377936,0.000000452,0,0,-0.372149
1007561.272274,-0.378485,-0.000001612,0,0,-0.372550
1010061.424314,-0.377936,-0.000000452,0,0,-0.372951
1012561.576355,-0.378668,0.000003191,0,0,-0.373351
1015061.728395,-0.379782,0.000000146,0,0,-0.373752
1017561.880435,-0.380835,0.000002706,0,0,-0.374153
1020062.032476,-0.380621,-0.000001897,0,0,-0.374554
1022562.184516,-0.380728,-0.000002876,0,0,-0.374954
1025062.336557,-0.380529,0.000000459,0,0,-0.375355
1027562.488597,-0.381201,0.000004796,0,0,-0.375756
1030062.640637,-0.382727,-0.000000994,0,0,-0.376157
1032562.792678,-0.383093,-0.000003508,0,0,-0.376558
1035062.944718,-0.382864,0.000000585,0,0,-0.376958
1037563.096758,-0.383505,0.000004467,0,0,-0.377359
1040063.248799,-0.382818,-0.000001933,0,0,-0.377760
1042563.400839,-0.382925,-0.000004679,0,0,-0.378161
1045063.552880,-0.385657,0.000005000,0,0,-0.378562
